Entry ID,Pairs of Acession Code(s)
6XBZ,"[['P51948', 'P51946'], ['P51946', 'P50613'], ['P50613', 'P51948']]"
6XD3,"[['P51948', 'P51946'], ['P51946', 'P50613'], ['P50613', 'P51948']]"
6XK9,"[['P15170', 'Q16531'], ['Q16531', 'Q96SW2'], ['Q96SW2', 'P15170']]"
6XOG,"[['Q9UBE0', 'Q9UBT2'], ['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0']]"
6XOH,"[['Q9UBE0', 'Q9UBT2'], ['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0']]"
6XOI,"[['Q9UBE0', 'Q9UBT2'], ['Q9UBT2', 'P63165'], ['P63165', 'Q9UBE0']]"
6YA7,"[['O00311', 'Q9UBU7'], ['Q9UBU7', 'P49736'], ['P49736', 'O00311']]"
6YBT,"[['Q14152', 'Q13347'], ['Q13347', 'P55884'], ['P55884', 'Q14152']]"
6YIE,"[['Q53HL2', 'Q9NQS7'], ['Q9NQS7', 'O15392'], ['O15392', 'Q53HL2']]"
6YVH,"[['Q9HCG8', 'Q6UX04'], ['Q6UX04', 'P38919'], ['P38919', 'Q9HCG8']]"
6Z2J,"[['Q13547', 'Q9H147'], ['Q9H147', 'Q6PJG2'], ['Q6PJG2', 'Q13547']]"
6Z2K,"[['Q13547', 'Q6PJG2'], ['Q6PJG2', 'Q9H147'], ['Q9H147', 'Q13547']]"
6Z6V,"[['P02745', 'P02746'], ['P02746', 'P02747'], ['P02747', 'P02745']]"
6Z9W,"[['A0A140T913', 'P61769'], ['P61769', 'P13726'], ['P13726', 'A0A140T913']]"
6ZHA,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
6ZHE,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
7AI0,"[['Q00987', 'P62837'], ['P62837', 'P0CG47'], ['P0CG47', 'Q00987']]"
7AI1,"[['Q00987', 'P62837'], ['P62837', 'P0CG47'], ['P0CG47', 'Q00987']]"
7ALO,"[['A0A2R7Z5J3', 'P61769'], ['P61769', 'P32241'], ['P32241', 'A0A2R7Z5J3']]"
7AO8,"[['Q9UBB5', 'Q13330'], ['Q13330', 'Q13547'], ['Q13547', 'Q9UBB5']]"
7AO9,"[['Q9UBB5', 'Q13330'], ['Q13330', 'Q13547'], ['Q13547', 'Q9UBB5']]"
7AY2,"[['Q8TAF3', 'O94782'], ['O94782', 'P0CG47'], ['P0CG47', 'Q8TAF3']]"
7B5O,"[['P51948', 'P51946'], ['P51946', 'P50613'], ['P50613', 'P51948']]"
7B5Q,"[['P51948', 'P51946'], ['P51946', 'P50613'], ['P50613', 'P51948']]"
7B5S,"[['Q13616', 'Q9Y4X5'], ['Q9Y4X5', 'P62877'], ['P62877', 'Q13616']]"
7B9C,"[['Q9BWJ5', 'O75533'], ['O75533', 'Q7RTV0'], ['Q7RTV0', 'Q9BWJ5']]"
7BBF,"[['Q15819', 'P61088'], ['P61088', 'P0CG48'], ['P0CG48', 'Q15819']]"
7BBG,"[['A0A140T913', 'P61769'], ['P61769', 'P19544'], ['P19544', 'A0A140T913']]"
7BBL,"[['Q8WXD5', 'Q9H840'], ['Q9H840', 'Q9NWZ8'], ['Q9NWZ8', 'Q8WXD5']]"
7BFP,"[['Q96HW7', 'Q5TA45'], ['Q5TA45', 'Q9NV88'], ['Q9NV88', 'Q96HW7']]"
7BFQ,"[['Q9NV88', 'Q96HW7'], ['Q96HW7', 'Q5TA45'], ['Q5TA45', 'Q9NV88']]"
7BG9,"[['O14746', 'B4DR52'], ['B4DR52', 'P0C0S8'], ['P0C0S8', 'O14746']]"
7BRE,"[['Q9UBL3', 'Q9UMN6'], ['Q9UMN6', 'Q15291'], ['Q15291', 'Q9UBL3']]"
7BV6,"[['Q9BV40', 'P56962'], ['P56962', 'O95721'], ['O95721', 'Q9BV40']]"
7BXT,"[['P62805', 'P04908'], ['P04908', 'Q16778'], ['Q16778', 'P62805']]"
7BY0,"[['P62805', 'P04908'], ['P04908', 'P06899'], ['P06899', 'P62805']]"
7C6A,"[['P50052', ' P0ABE7'], [' P0ABE7', 'P01019'], ['P01019', 'P50052']]"
7CE3,"[['P50213', 'P51553'], ['P51553', 'O43837'], ['O43837', 'P50213']]"
7CIQ,"[['O78189', 'P61769'], ['P61769', 'P18583'], ['P18583', 'O78189']]"
7CIR,"[['O78189', 'P61769'], ['P61769', 'P18583'], ['P18583', 'O78189']]"
7CIS,"[['O78189', 'P61769'], ['P61769', 'P18583'], ['P18583', 'O78189']]"
7CMU,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7CMV,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7CZ5,"[['Q02643', 'P63092'], ['P63092', 'P01286'], ['P01286', 'Q02643']]"
7D3S,"[['P09683', 'P47872'], ['P47872', 'P63092'], ['P63092', 'P09683']]"
7DL2,"[['Q92574', 'P49815'], ['P49815', 'Q9P0N9'], ['Q9P0N9', 'Q92574']]"
7DNI,"[['P0CG47', 'Q9BYX4'], ['Q9BYX4', 'Q7Z434'], ['Q7Z434', 'P0CG47']]"
7DPA,"[['Q9H7D0', 'P63000'], ['P63000', 'Q92556'], ['Q92556', 'Q9H7D0']]"
7DUQ,"[['P01275', 'P43220'], ['P43220', 'P63092'], ['P63092', 'P01275']]"
7DUU,"[['F6IQA6', 'P61769'], ['P61769', 'P43631'], ['P43631', 'F6IQA6']]"
7DYN,"[['O78189', 'P61769'], ['P61769', 'P18583'], ['P18583', 'O78189']]"
7E1Z,"[['P05023', 'P05026'], ['P05026', 'P54710'], ['P54710', 'P05023']]"
7.00E+20,"[['P05023', 'P05026'], ['P05026', 'P54710'], ['P54710', 'P05023']]"
7.00E+21,"[['P05023', 'P05026'], ['P05026', 'P54710'], ['P54710', 'P05023']]"
7E2X,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7E2Y,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7E2Z,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7.00E+32,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7.00E+33,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7.00E+34,"[['P24941', 'Q5MJ70'], ['Q5MJ70', 'O94901'], ['O94901', 'P24941']]"
7E8E,"[['Q9NZI2', 'Q9NZV8'], ['Q9NZV8', 'P42658'], ['P42658', 'Q9NZI2']]"
7E8H,"[['P42658', 'Q9NZI2'], ['Q9NZI2', 'Q9NZV8'], ['Q9NZV8', 'P42658']]"
7EWP,"[['Q5T848', 'P49802'], ['P49802', 'O14775'], ['O14775', 'Q5T848']]"
7EWR,"[['P49802', 'O14775'], ['O14775', 'Q5T848'], ['Q5T848', 'P49802']]"
7EXD,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7F16,"[['P49190', 'Q96A98'], ['Q96A98', 'P63092'], ['P63092', 'P49190']]"
7F6G,"[['P50148', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P50148']]"
7FIG,"[['P22888', 'P01215'], ['P01215', 'P0DN86'], ['P0DN86', 'P22888']]"
7FIH,"[['P22888', 'P01215'], ['P01215', 'P0DN86'], ['P0DN86', 'P22888']]"
7FII,"[['P22888', 'P01215'], ['P01215', 'P0DN86'], ['P0DN86', 'P22888']]"
7JHG,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
7JHH,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
7JHJ,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7JIJ,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
7JOZ,"[['P63092', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63092']]"
7JVR,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7K0C,"[['P01833', 'P01871'], ['P01871', 'P01591'], ['P01591', 'P01833']]"
7K0I,"[['O15269', 'O15270'], ['O15270', 'Q969W0'], ['Q969W0', 'O15269']]"
7K0J,"[['O15269', 'O15270'], ['O15270', 'Q969W0'], ['Q969W0', 'O15269']]"
7K0K,"[['O15269', 'O15270'], ['O15270', 'Q969W0'], ['Q969W0', 'O15269']]"
7K0L,"[['O15269', 'O15270'], ['O15270', 'Q969W0'], ['Q969W0', 'O15269']]"
7K0Y,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
7K1J,"[['P13010', 'P78527'], ['P78527', 'P12956'], ['P12956', 'P13010']]"
7K1K,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
7K1N,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
7K7L,"[['P25098', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P25098']]"
7K7Z,"[['P25098', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P25098']]"
7K80,"[['A0A5H2UYS3', 'P61769'], ['P61769', 'P43629'], ['P43629', 'A0A5H2UYS3']]"
7K81,"[['P61769', 'P43629'], ['P43629', 'A0A5H2UYS3'], ['A0A5H2UYS3', 'P61769']]"
7KNU,"[['O60894', 'P06881'], ['P06881', 'Q16602'], ['Q16602', 'O60894']]"
7KRJ,"[['P07900', 'Q15185'], ['Q15185', 'P04150'], ['P04150', 'P07900']]"
7L0P,"[['P63096', 'P62873'], ['P62873', 'P63211'], ['P63211', 'P63096']]"
7L0Q,"[['P63096', 'P62873'], ['P62873', 'P63211'], ['P63211', 'P63096']]"
7L0R,"[['P63096', 'P62873'], ['P62873', 'P63211'], ['P63211', 'P63096']]"
7L0S,"[['P63096', 'P62873'], ['P62873', 'P63211'], ['P63211', 'P63096']]"
7L1B,"[['P04439', 'P61769'], ['P61769', 'P42336'], ['P42336', 'P04439']]"
7L1C,"[['P04439', 'P61769'], ['P61769', 'P42336'], ['P42336', 'P04439']]"
7L1D,"[['P04439', 'P61769'], ['P61769', 'P42336'], ['P42336', 'P04439']]"
7L1V,"[['P62873', 'P59768'], ['P59768', 'O43614'], ['O43614', 'P62873']]"
7L7I,"[['Q13451', 'P07900'], ['P07900', 'Q15185'], ['Q15185', 'Q13451']]"
7LF4,"[['O00629', 'P19838'], ['P19838', 'Q04206'], ['Q04206', 'O00629']]"
7LPS,"[['Q96SW2', 'Q9UKS7'], ['Q9UKS7', 'Q16531'], ['Q16531', 'Q96SW2']]"
7M6J,"[['Q15019', 'Q14141'], ['Q14141', 'Q16181'], ['Q16181', 'Q15019']]"
7M6T,"[['O14508', 'Q15370'], ['Q15370', 'Q15369'], ['Q15369', 'O14508']]"
7M74,"[['Q13131', 'O43741'], ['O43741', 'P54619'], ['P54619', 'Q13131']]"
7MFD,"[['P15056', 'Q02750'], ['Q02750', 'P63104'], ['P63104', 'P15056']]"
7MIX,"[['Q00975', 'P54289'], ['P54289', 'P54284'], ['P54284', 'Q00975']]"
7MIY,"[['Q00975', 'P54284'], ['P54284', 'P54289'], ['P54289', 'Q00975']]"
7MJ6,"[['A0A140T913', 'P61769'], ['P61769', 'Q8WX77'], ['Q8WX77', 'A0A140T913']]"
7MJ7,"[['A0A140T913', 'P61769'], ['P61769', 'Q8WX77'], ['Q8WX77', 'A0A140T913']]"
7MJ8,"[['A0A140T913', 'P61769'], ['P61769', 'Q8WX77'], ['Q8WX77', 'A0A140T913']]"
7MJ9,"[['A0A140T913', 'P61769'], ['P61769', 'Q8WX77'], ['Q8WX77', 'A0A140T913']]"
7MJA,"[['A0A5H2UYS3', 'P61769'], ['P61769', 'Q99453'], ['Q99453', 'A0A5H2UYS3']]"
7MRZ,"[['O95390', 'Q13705'], ['Q13705', ' P36896'], [' P36896', 'O95390']]"
7MX2,"[['Q5VZE5', 'Q9BRA0'], ['Q9BRA0', 'Q147X3'], ['Q147X3', 'Q5VZE5']]"
7MYF,"[['P61086', 'P0CG47'], ['P0CG47', 'P0CG48'], ['P0CG48', 'P61086']]"
7MYJ,"[['P54646', 'Q9Y478'], ['Q9Y478', 'P54619'], ['P54619', 'P54646']]"
7N2N,"[['O43395', 'A3F718'], ['A3F718', 'P61769'], ['P61769', 'O43395']]"
7N2O,"[['P62723', 'A3F718'], ['A3F718', 'P61769'], ['P61769', 'P62723']]"
7N2P,"[['A3F718', 'P61769'], ['P61769', 'A0A2R8Y7R8'], ['A0A2R8Y7R8', 'A3F718']]"
7N2R,"[['A3F718', 'P61769'], ['P61769', 'O43395'], ['O43395', 'A3F718']]"
7N2S,"[['O43395', 'A3F718'], ['A3F718', 'P61769'], ['P61769', 'O43395']]"
7N40,"[['Q09028', 'Q5TKA1'], ['Q5TKA1', 'Q96GY3'], ['Q96GY3', 'Q09028']]"
7ND2,"[['Q6ZMI0', 'O95825'], ['O95825', 'Q8NB37'], ['Q8NB37', 'Q6ZMI0']]"
7NMG,"[['A0A5H2UYS3', 'P61769'], ['P61769', 'P01308'], ['P01308', 'A0A5H2UYS3']]"
7NOZ,"[['P01024', 'P27918'], ['P27918', 'P00751'], ['P00751', 'P01024']]"
7NWL,"[['P05556', 'P02751'], ['P02751', 'P08648'], ['P08648', 'P05556']]"
7NZE,"[['A2BFX2', 'P01903'], ['P01903', 'P02458'], ['P02458', 'A2BFX2']]"
7NZM,"[['P05198', 'O75807'], ['O75807', ' P0AEX9'], [' P0AEX9', 'P05198']]"
7O7F,"[['P63096', 'P51681'], ['P51681', 'P13501'], ['P13501', 'P63096']]"
7OAT,"[['Q9BZE9', 'P55072'], ['P55072', 'Q9H867'], ['Q9H867', 'Q9BZE9']]"
7OJX,"[['Q9H0F5', 'P61086'], ['P61086', 'P0CG47'], ['P0CG47', 'Q9H0F5']]"
7OKX,"[['O00472', 'Q96JC9'], ['Q96JC9', 'O00267'], ['O00267', 'O00472']]"
7OLY,"[['P08476', 'Q13705'], ['Q13705', 'P36896'], ['P36896', 'P08476']]"
7ONU,"[['Q99714', 'O15091'], ['O15091', 'Q7L0Y3'], ['Q7L0Y3', 'Q99714']]"
7OOB,"[['Q03468', 'Q16531'], ['Q16531', 'Q13216'], ['Q13216', 'Q03468']]"
7OPI,"[['Q9BWJ5', 'O75533'], ['O75533', 'Q7RTV0'], ['Q7RTV0', 'Q9BWJ5']]"
7OS2,"[['O75643', 'Q9NZ63'], ['Q9NZ63', 'Q6P2Q9'], ['Q6P2Q9', 'O75643']]"
7OW3,"[['P61769', 'P01111'], ['P01111', 'A0A583ZB34'], ['A0A583ZB34', 'P61769']]"
7OW4,"[['A0A583ZB34', 'P61769'], ['P61769', 'P01111'], ['P01111', 'A0A583ZB34']]"
7OW5,"[['A0A583ZB34', 'P61769'], ['P61769', 'P01111'], ['P01111', 'A0A583ZB34']]"
7OW6,"[['P61769', 'P01111'], ['P01111', 'A0A583ZB34'], ['A0A583ZB34', 'P61769']]"
7PB2,"[['A0A583ZB34', 'P61769'], ['P61769', 'P01111'], ['P01111', 'A0A583ZB34']]"
7PB4,"[['Q9H3R5', 'Q92674'], ['Q92674', 'Q9BS16'], ['Q9BS16', 'Q9H3R5']]"
7PBC,"[['Q861F7', 'P61769'], ['P61769', 'P43363'], ['P43363', 'Q861F7']]"
7PDW,"[['P61769', 'P43363'], ['P43363', 'Q861F7'], ['Q861F7', 'P61769']]"
7PPC,"[['O95393', 'P37023'], ['P37023', 'Q13873'], ['Q13873', 'O95393']]"
7PW4,"[['Q96Q15', 'Q8ND04'], ['Q8ND04', 'Q9H0W8'], ['Q9H0W8', 'Q96Q15']]"
7PW5,"[['Q96Q15', 'Q8ND04'], ['Q8ND04', 'Q9H0W8'], ['Q9H0W8', 'Q96Q15']]"
7PW8,"[['Q96Q15', 'Q8ND04'], ['Q8ND04', 'Q9H0W8'], ['Q9H0W8', 'Q96Q15']]"
7PX3,"[['O75643', 'Q6P2Q9'], ['Q6P2Q9', 'Q9Y5U2'], ['Q9Y5U2', 'O75643']]"
7Q15,"[['P55899', 'P61769'], ['P61769', 'P01857'], ['P01857', 'P55899']]"
7Q3D,"[['O95876', 'Q9BT04'], ['Q9BT04', 'Q9ULD6'], ['Q9ULD6', 'O95876']]"
7Q98,"[['A0A140T913', 'P61769'], ['P61769', 'Q9Y6M1'], ['Q9Y6M1', 'A0A140T913']]"
7Q99,"[['A0A140T913', 'P61769'], ['P61769', 'Q9Y6M1'], ['Q9Y6M1', 'A0A140T913']]"
7Q9A,"[['A0A140T913', 'P61769'], ['P61769', 'Q10589'], ['Q10589', 'A0A140T913']]"
7QDR,"[['Q15477', 'Q6PGP7'], ['Q6PGP7', 'Q9GZS3'], ['Q9GZS3', 'Q15477']]"
7QDS,"[['Q15477', 'Q6PGP7'], ['Q6PGP7', 'Q9GZS3'], ['Q9GZS3', 'Q15477']]"
7QDY,"[['Q15477', 'Q6PGP7'], ['Q6PGP7', 'Q9GZS3'], ['Q9GZS3', 'Q15477']]"
7QDZ,"[['Q6PGP7', 'Q15477'], ['Q15477', 'Q9GZS3'], ['Q9GZS3', 'Q6PGP7']]"
7QN5,"[['P48169', 'P28472'], ['P28472', 'O14764'], ['O14764', 'P48169']]"
7QN7,"[['P48169', 'P28472'], ['P28472', 'O14764'], ['O14764', 'P48169']]"
7QN9,"[['P48169', 'P28472'], ['P28472', 'O14764'], ['O14764', 'P48169']]"
7QNA,"[['P48169', 'P28472'], ['P28472', 'P18507'], ['P18507', 'P48169']]"
7QNC,"[['P48169', 'P28472'], ['P28472', 'O14764'], ['O14764', 'P48169']]"
7QNE,"[['P14867', 'P28472'], ['P28472', 'P18507'], ['P18507', 'P14867']]"
7QNG,"[['O15533', 'P30101'], ['P30101', 'P61769'], ['P61769', 'O15533']]"
7QO1,"[['P39748', 'P18858'], ['P18858', 'P12004'], ['P12004', 'P39748']]"
7QPG,"[['Q9H900', 'P50748'], ['P50748', 'O43264'], ['O43264', 'Q9H900']]"
7QPJ,"[['A0A140T913', 'P61769'], ['P61769', 'P43363'], ['P43363', 'A0A140T913']]"
7R0C,"[['P30518', 'P01185'], ['P01185', 'P49407'], ['P49407', 'P30518']]"
7R1D,"[['Q5TKA1', 'Q09028'], ['Q09028', 'Q96GY3'], ['Q96GY3', 'Q5TKA1']]"
7R71,"[['P0CG48', ' Q6ZSG1'], [' Q6ZSG1', 'P62837'], ['P62837', 'P0CG48']]"
7RAN,"[['P28223', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P28223']]"
7RE7,"[['A0A140T913', 'P61769'], ['P61769', 'P02771'], ['P02771', 'A0A140T913']]"
7RE8,"[['A0A140T913', 'P61769'], ['P61769', 'P02771'], ['P02771', 'A0A140T913']]"
7RK7,"[['P04439', 'P61769'], ['P61769', 'P14679'], ['P14679', 'P04439']]"
7RKX,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7RKY,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7RM4,"[['P61769', 'P04439'], ['P04439', 'P04637'], ['P04637', 'P61769']]"
7RNO,"[['C1ITJ8', ' Q95460'], [' Q95460', 'Q9BX59'], ['Q9BX59', 'C1ITJ8']]"
7RRG,"[['P04439', 'P61769'], ['P61769', 'P42336'], ['P42336', 'P04439']]"
7RTK,"[['Q9Y697', 'Q9HD34'], ['Q9HD34', 'Q9H1K1'], ['Q9H1K1', 'Q9Y697']]"
7RU9,"[['Q7L5D6', 'P46379'], ['P46379', 'P11441'], ['P11441', 'Q7L5D6']]"
7RUA,"[['Q7L5D6', 'P46379'], ['P46379', 'P11441'], ['P11441', 'Q7L5D6']]"
7RUC,"[['Q7L5D6', 'P46379'], ['P46379', 'P11441'], ['P11441', 'Q7L5D6']]"
7RZD,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7RZJ,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S0Q,"[['P08069', 'P06213'], ['P06213', 'P05019'], ['P05019', 'P08069']]"
7S79,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S7B,"[['P42285', 'Q6NZY4'], ['Q6NZY4', 'Q9Y580'], ['Q9Y580', 'P42285']]"
7S7C,"[['P42285', 'Q6NZY4'], ['Q6NZY4', 'Q9Y580'], ['Q9Y580', 'P42285']]"
7S7D,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S7E,"[['P01889', 'P61769'], ['P61769', 'Q8TEK3'], ['Q8TEK3', 'P01889']]"
7S7F,"[['P01889', 'P61769'], ['P61769', 'Q8TEK3'], ['Q8TEK3', 'P01889']]"
7S8A,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S8E,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S8F,"[['P01889', 'P61769'], ['P61769', 'Q03164'], ['Q03164', 'P01889']]"
7S8N,"[['P62873', 'P59768'], ['P59768', 'Q96LB1'], ['Q96LB1', 'P62873']]"
7S8O,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7SBF,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7SCG,"[['P62873', 'P59768'], ['P59768', 'P63096'], ['P63096', 'P62873']]"
7SD0,"[['Q9UQ13', 'O14807'], ['O14807', 'P36873'], ['P36873', 'Q9UQ13']]"
7SJ9,"[['P68363', 'Q13509'], ['Q13509', 'Q9UPY8'], ['Q9UPY8', 'P68363']]"
7SR8,"[['P62873', 'P59768'], ['P59768', 'O43614'], ['O43614', 'P62873']]"
7SRR,"[['P62873', 'P59768'], ['P59768', 'P41595'], ['P41595', 'P62873']]"
7STX,"[['P61599', 'Q14CX7'], ['Q14CX7', 'P37840'], ['P37840', 'P61599']]"
7SU3,"[['P78527', 'P12956'], ['P12956', 'P13010'], ['P13010', 'P78527']]"
7T0W,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
7T0Z,"[['P47870', 'P14867'], ['P14867', 'P18507'], ['P18507', 'P47870']]"
7T1Y,"[['P63208', 'Q969H0'], ['Q969H0', 'P01106'], ['P01106', 'P63208']]"
7T1Z,"[['P63208', 'Q969H0'], ['Q969H0', 'P01106'], ['P01106', 'P63208']]"
7T2G,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7T2H,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7T5M,"[['Q861F7', 'P61769'], ['P61769', 'Q6UWB1'], ['Q6UWB1', 'Q861F7']]"
7T5Q,"[['P47756', ' Q91YD9'], [' Q91YD9', 'P52907'], ['P52907', 'P47756']]"
7TPP,"[['P00734', 'P00742'], ['P00742', 'P12259'], ['P12259', 'P00734']]"
7TR4,"[['A0A140T9X5', 'P61769'], ['P61769', 'Q16655'], ['Q16655', 'A0A140T9X5']]"
7TRY,"[['Q13324', 'P55089'], ['P55089', 'P29992'], ['P29992', 'Q13324']]"
7TUE,"[['D5H3J5', 'O15533'], ['O15533', 'P61769'], ['P61769', 'D5H3J5']]"
7TV4,"[['Q9Y6K9', 'P0CG48'], ['P0CG48', 'Q96EP0'], ['Q96EP0', 'Q9Y6K9']]"
7TVF,"[['O14807', 'P62136'], ['P62136', 'Q9UQ13'], ['Q9UQ13', 'O14807']]"
7TW3,"[['P02730', 'P16452'], ['P16452', 'P16157'], ['P16157', 'P02730']]"
7TW5,"[['P02730', 'P16452'], ['P16452', 'P16157'], ['P16157', 'P02730']]"
7TW6,"[['P02730', 'P16452'], ['P16452', 'P16157'], ['P16157', 'P02730']]"
7TXH,"[['O14807', 'Q9UQ13'], ['Q9UQ13', 'P62136'], ['P62136', 'O14807']]"
7U21,"[['A0A140T913', 'P61769'], ['P61769', 'Q15124'], ['Q15124', 'A0A140T913']]"
7U2K,"[['P62873', 'P59768'], ['P59768', 'P63096'], ['P63096', 'P62873']]"
7U2L,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7U8F,"[['Q96SW2', 'Q16531'], ['Q16531', 'Q53SU9'], ['Q53SU9', 'Q96SW2']]"
7U9T,"[['P68106', 'Q92736'], ['Q92736', 'P0DP23'], ['P0DP23', 'P68106']]"
7UA3,"[['Q92736', 'P68106'], ['P68106', 'P0DP23'], ['P0DP23', 'Q92736']]"
7UA4,"[['Q92736', 'P68106'], ['P68106', 'P0DP23'], ['P0DP23', 'Q92736']]"
7UHF,"[['Q01668', 'P54289'], ['P54289', 'P54284'], ['P54284', 'Q01668']]"
7UHG,"[['P54284', 'Q01668'], ['Q01668', 'P54289'], ['P54289', 'P54284']]"
7UM5,"[['P47898', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P47898']]"
7UM6,"[['P47898', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P47898']]"
7UM7,"[['P47898', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P47898']]"
7UMG,"[['Q95460', 'P61769'], ['P61769', 'P01732'], ['P01732', 'Q95460']]"
7UN1,"[['Q96E40', 'P68371'], ['P68371', 'Q71U36'], ['Q71U36', 'Q96E40']]"
7UPI,"[['O14807', 'P62136'], ['P62136', 'Q9UQ13'], ['Q9UQ13', 'O14807']]"
7UPN,"[['P62937', 'Q15369'], ['Q15369', 'Q15370'], ['Q15370', 'P62937']]"
7UWL,"[['Q9H293', 'Q9NRM6'], ['Q9NRM6', 'Q96F46'], ['Q96F46', 'Q9H293']]"
7UWN,"[['Q16552', 'Q96F46'], ['Q96F46', 'Q8NAC3'], ['Q8NAC3', 'Q16552']]"
7UZQ,"[['P18577', 'Q02094'], ['Q02094', 'P16157'], ['P16157', 'P18577']]"
7V0S,"[['P18577', 'Q02094'], ['Q02094', 'P16157'], ['P16157', 'P18577']]"
7V7C,"[['Q16531', 'P13051'], ['P13051', 'Q9Y4B6'], ['Q9Y4B6', 'Q16531']]"
7V9L,"[['P63096', ' P63092'], [' P63092', 'Q9HB45'], ['Q9HB45', 'P63096']]"
7V9M,"[['P63092', 'P01286'], ['P01286', 'Q9HB45'], ['Q9HB45', 'P63092']]"
7VAB,"[['P48546', 'P63096'], ['P63096', ' P63092'], [' P63092', 'P48546']]"
7VCQ,"[['P84243', 'P62805'], ['P62805', 'Q9NVP2'], ['Q9NVP2', 'P84243']]"
7VF2,"[['Q69YN4', 'Q5T200'], ['Q5T200', 'Q15007'], ['Q15007', 'Q69YN4']]"
7VFS,"[['Q00975', 'Q02641'], ['Q02641', 'P54289'], ['P54289', 'Q00975']]"
7VFU,"[['Q00975', 'Q02641'], ['Q02641', 'P54289'], ['P54289', 'Q00975']]"
7VFV,"[['P54289', 'Q02641'], ['Q02641', 'Q00975'], ['Q00975', 'P54289']]"
7VFW,"[['Q00975', 'Q02641'], ['Q02641', 'P54289'], ['P54289', 'Q00975']]"
7VOI,"[['Q9UIV1', 'A5YKK6'], ['A5YKK6', 'Q96LI5'], ['Q96LI5', 'Q9UIV1']]"
7VUG,"[['P63096', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63096']]"
7VUH,"[['P62873', 'P59768'], ['P59768', 'P63092'], ['P63092', 'P62873']]"
7VUI,"[['P63092', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63092']]"
7VUJ,"[['P63092', 'P62873'], ['P62873', 'P59768'], ['P59768', 'P63092']]"
7VVJ,"[['P63092', 'P12272'], ['P12272', 'Q03431'], ['Q03431', 'P63092']]"
7VVK,"[['P63092', 'P01270'], ['P01270', 'Q03431'], ['Q03431', 'P63092']]"
